player,transfermarkt_id,transfermarkt_name,tm_market_value
Amar Memic,638990,Amar Memić,4500000.0
Amir Hadziahmetovic,293213,Amir Hadziahmetovic,4000000.0
Dzenis Burnic,251295,Dzenis Burnic,1200000.0
Nikola Katic,422051,Nikola Katic,1800000.0
Kerim Alajbegovic,929994,Kerim Alajbegovic,22000000.0
Esmir Bajraktarevic,925862,Esmir Bajraktarevic,8000000.0
Stjepan Radeljic,384568,Stjepan Radeljic,2800000.0
Martin Zlomislic,495320,Martin Zlomislic,2000000.0
Haris Tabakovic,203123,Haris Tabakovic,3500000.0
Arjan Malic,805534,Arjan Malic,1800000.0
Jovo Lukic,457738,Jovo Lukić,2200000.0
Ermin Mahmic,803049,Ermin Mahmic,5000000.0
Ibrahim Mahmoud Abunada,669629,Mahmoud Abunada,400000.0
Miguel Pedro,808574,Miguel Menino,700000.0
Michel Lucas,276053,Michel,
Hussain Sultan,436439,Osama Abdullah,
Gregor Kobel,257814,Gregor Kobel,40000000.0
Miro Max Maria Muheim,298603,Miro Muheim,5000000.0
Silvan Dominic Widmer,168989,Silvan Widmer,800000.0
Nico Elvedi,192635,Nico Elvedi,8000000.0
Manuel Obafemi Akanji,284730,Manuel Akanji,17000000.0
Denis Lemi Zakaria,334526,Denis Zakaria,25000000.0
Breel Donald Embolo,237662,Breel Embolo,15000000.0
Remo Marco Freuler,148252,Remo Freuler,3000000.0
Granit Xhaka,111455,Granit Xhaka,8000000.0
Dan Ndoye,365108,Dan Ndoye,32000000.0
Yvon Landry Mvogo,147051,Yvon Mvogo,2500000.0
Ricardo Ivan Rodriguez,86784,Ricardo Rodríguez,1400000.0
Ardon Jashari,608172,Ardon Jashari,25000000.0
Djibril Ibrahima Sow,212723,Djibril Sow,7500000.0
Ruben Estephan Vargas,345886,Rubén Vargas,12000000.0
Noah Arinzechukwu Okafor,346890,Noah Okafor,25000000.0
Michel Aebischer,237658,Michel Aebischer,4000000.0
Marvin Keller,500763,Marvin Keller,6000000.0
Fabian Rieder,507341,Fabian Rieder,12000000.0
Mohamed Zeki Amdouni,548729,Zeki Amdouni,7000000.0
Aurèle Florian Amenda,635645,Aurèle Amenda,10000000.0
Luca Antony Jaquez,539798,Luca Jaquez,10000000.0
Cedric Jan Itten,243856,Cedric Itten,1800000.0
Henrique,800175,Luiz Henrique,24000000.0
Sandro Alex,90636,Lisandro Henríquez,
José Vinicius,509646,Vinicius Oliveira,
Yassine Bounou,207834,Yassine Bounou,3000000.0
Achraf Hakimi,398073,Achraf Hakimi,80000000.0
Noussair Mazraoui,340456,Noussair Mazraoui,18000000.0
Sofyan Amrabat,287579,Sofyan Amrabat,10000000.0
Marwane Saadane,210009,Marwane Saadane,400000.0
