feature,catboost,lightgbm,xgboost,mean,catboost_shap
elo_diff,0.27171125185552364,0.5424363852842274,0.13376891656712825,0.3159721845689598,0.3293682378450231
competition,0.035495996367467135,0.08775287961345586,0.012008822830142315,0.04508589960368844,0.027169958210740076
neutral,0.03559689062033767,0.022262319073284485,0.021409159169860272,0.02642278962116081,0.08269791200561155
avg_opp_elo_diff_10,0.032956230841997364,0.02228239181835287,0.011793275554728727,0.022343966071692988,0.054800952820330186
away_away5_avg_goals_conceded,0.012229514745909786,0.012328155715218588,0.013201540957421185,0.012586403806183186,0.017349553247688786
home_avg_goals_conceded_10,0.00827749540623519,0.009807218813976145,0.01759673640810528,0.011893816876105539,0.013604747156870189
away_avg_goals_conceded_10,0.008657523811522393,0.007806165410646633,0.015433279390287855,0.01063232287081896,0.010505397081548594
away_elo,0.016948850364129135,0.008588693298179921,0.00621035400611953,0.010582632556142862,0.03012149793101632
avg_opp_elo_diff_5,0.014576557198444319,0.009978550966312947,0.006712212561892696,0.010422440242216655,0.02004187974542543
home_avg_goal_diff_5,0.003993543658858058,0.0029751944719915296,0.02046577500909532,0.009144837713314969,0.002548914525903523
home_avg_goal_diff_10,0.0075917541797831545,0.005975464108252728,0.013531123287439177,0.009032780525158353,0.00941946523409311
away_avg_goal_diff_10,0.008794270638718401,0.005328412975761861,0.012574350145953277,0.008899011253477846,0.009102949989586785
home_avg_opp_elo_10,0.013797989936211265,0.005067192281613148,0.005073765381797658,0.007979649199874024,0.019267848806768885
home_matches_in_window_10,0.005800442933973646,0.004168926779348,0.013478342024090572,0.007815903912470739,0.004245619847475591
away_matches_in_window_10,0.00623395669313822,0.0039225008032040196,0.012004271332462593,0.00738690960960161,0.0044635060409901174
home_elo,0.011461769837251485,0.005368099595504601,0.005150224974019291,0.007326698135591792,0.019152261731671685
away_avg_opp_elo_5,0.011504402700865451,0.005145488052184235,0.004903938432595936,0.00718460972854854,0.013076613119431783
goals_conceded_diff_5,0.0054888460331787535,0.004779184516798906,0.010776508562463368,0.007014846370813677,0.0062667622384826776
away_home5_avg_goals_conceded,0.00585315980152125,0.00497636684187036,0.009930915472339907,0.0069201473719105065,0.004413410950213183
away_avg_opp_elo_10,0.008997991266898908,0.006317546131916891,0.004582596431510217,0.006632711276775338,0.011189989378267394
goal_diff_diff_3,0.006490980028506612,0.005519148272572763,0.007865531445546801,0.006625219915542058,0.00739233876992536
away_away_played_10,0.009463960931870156,0.0038533125428083567,0.006510491815589627,0.006609255096756046,0.00978908749967286
home_away5_avg_goals_conceded,0.00692510157339222,0.005522428745291942,0.007362336378329119,0.006603288899004428,0.004847199885104603
home_away_played_10,0.010125269416382402,0.003547865296463341,0.005897144438510926,0.006523426383785557,0.016939358462577797
home_away5_avg_goals_scored,0.007994545106048826,0.00631628896142645,0.00518688605971067,0.0064992400423953154,0.007613025897312615
away_ppg_10,0.005545559446628831,0.003084647456287524,0.010505756602279833,0.006378654501732063,0.003621364746988955
home_home5_avg_goals_scored,0.010106747947872832,0.004025398803057357,0.0044643111909580015,0.0061988193139627295,0.010760447422174406
goal_diff_diff_10,0.006868664466251194,0.004700524946260933,0.0067094570014665416,0.006092882137992889,0.007576067909970329
home_avg_opp_elo_3,0.008858065464165782,0.0052997678406582534,0.00409752829797285,0.0060851205342656286,0.007010053295946977
away_away5_avg_goals_scored,0.0072783612739750385,0.004091330501520208,0.006554051746627974,0.005974581174041073,0.0060753179312097345
avg_opp_elo_diff_3,0.007409056831515584,0.005890742590428293,0.0043055159305283985,0.005868438450824093,0.004072000193233724
home_home5_avg_goals_conceded,0.007391450731502735,0.003818832197403228,0.006198427829219181,0.005802903586041714,0.010241759540889739
away_avg_goal_diff_3,0.0053270783269929655,0.0022528055140617056,0.009730721173259555,0.005770201671438075,0.004527167077634981
goals_conceded_diff_10,0.006681459726163755,0.0038914563612202704,0.006205477330432103,0.005592797805938709,0.008558463294724943
rest_days_diff,0.006356291822090195,0.005498984009071387,0.004605992342786337,0.005487089391315973,0.0025569838855905333
